variable,source_or_derivation,phase_2f_status,phase_3a_audit_method,prediction_time_compatibility,leakage_or_post_occurrence_concern,drift_note,redundancy_group,final_policy,allowed_in_primary_dataset,allowed_in_secondary_experiment,rationale,future_transformation_note
uso_solo,interim,candidata,categorical_tvd,compatible_by_design,Sem preocupação pós-ocorrência identificada.,TVD 0.005919; suporte estável.,road_context,include_primary,true,false,Campo contextual autorizado sem reinterpretar automaticamente como urbano/rural.,Encoder categórico ajustado somente em 2021-2024; preservar semântica original.
tracado_via,interim,candidata_com_cautela,high_cardinality_categorical_tvd,compatible_by_design,Sem leakage direto; natureza combinatória e alta cardinalidade.,TVD 0.082051; 168 combinações unseen; share 0.272994%.,road_layout,exclude_redundant_representation,false,false,Combinações brutas são substituídas pelos componentes multilabel semanticamente estáveis.,Não aplicar encoder às combinações cruas.
tracado_via_components,derivada em memória de tracado_via,candidata_com_cautela,multilabel_prevalence_shift,compatible_by_design,Sem leakage direto; representação derivada deve evitar dupla contagem.,Todos os 12 componentes presentes nos cinco anos; maior mudança Reta +3.171827 p.p.,road_layout,include_primary_with_caution,true,false,Componentes preservam a semântica sem tratar mais de mil combinações como categorias independentes.,Materializar futuramente indicadores binários multilabel ajustados no desenvolvimento; não implementado na 3B.
tipo_acidente,interim,requer_decisao_metodologica,categorical_tvd,uncertain,Tipo final depende da dinâmica já ocorrida e pode não existir no registro inicial.,TVD 0.032081; zero novas e uma categoria ausente em 2025.,post_occurrence_dynamics,secondary_only,false,true,Incompatível com o momento estrito do modelo principal; reservado para comparação secundária explicitamente tardia.,Encoder futuro somente no desenvolvimento e tolerante a unknown; nunca misturar com o resultado principal.
causa_acidente,interim,requer_decisao_metodologica,categorical_tvd,incompatible,Causa registrada depende de apuração posterior e pode incorporar conhecimento do desfecho.,TVD 0.079368; zero novas e sete categorias ausentes em 2025.,post_occurrence_investigation,secondary_only,false,true,Forte associação não supera a indisponibilidade no momento preditivo; uso apenas em experimento secundário tardio.,Preservar taxonomia original; encoder somente no desenvolvimento e tolerante a unknown.
pessoas,interim,requer_decisao_metodologica,discrete_exact_tvd,uncertain,Contagem pode ser consolidada depois; associação parcialmente mecânica com target e decomposição divergente.,TVD 0.009196; três valores unseen com share 0.006894%.,post_occurrence_counts,secondary_only,false,true,Não é defensável no modelo principal; permanece útil apenas para análise secundária de cenário tardio.,Transformação futura ajustada somente no desenvolvimento; documentar relação mecânica com o target.
veiculos,interim,requer_decisao_metodologica,discrete_exact_tvd,uncertain,Contagem final pode ser consolidada durante ou após a ocorrência.,TVD 0.013573; três valores unseen com share 0.004136%.,post_occurrence_counts,secondary_only,false,true,Natureza contextual não garante disponibilidade no registro inicial; reservar para cenário secundário tardio.,Transformação futura ajustada somente no desenvolvimento; não inferir disponibilidade operacional.
regional,interim,excluir_administrativa,,incompatible,Proxy administrativo sem papel substantivo no cenário preditivo.,Não auditada por decisão de exclusão da 2F.,administrative,exclude_administrative,false,false,Campo administrativo definitivamente fora da versão principal e do experimento secundário.,Não transformar nem usar como predictor.
delegacia,interim,excluir_administrativa,,incompatible,Proxy administrativo sem papel substantivo no cenário preditivo.,Não auditada por decisão de exclusão da 2F.,administrative,exclude_administrative,false,false,Campo administrativo definitivamente fora da versão principal e do experimento secundário.,Não transformar nem usar como predictor.
uop,interim,excluir_administrativa,,incompatible,Proxy administrativo sem papel substantivo no cenário preditivo.,Não auditada por decisão de exclusão da 2F.,administrative,exclude_administrative,false,false,Campo administrativo definitivamente fora da versão principal e do experimento secundário.,Não transformar nem usar como predictor.
mortos,interim,excluir_por_leakage,,incompatible,Componente direto da definição de target_grave.,Não auditada por leakage.,human_outcomes,exclude_leakage,false,false,Desfecho humano proibido como predictor em qualquer experimento futuro.,Nunca usar como predictor.
feridos_graves,interim,excluir_por_leakage,,incompatible,Componente direto da definição de target_grave.,Não auditada por leakage.,human_outcomes,exclude_leakage,false,false,Desfecho humano proibido como predictor em qualquer experimento futuro.,Nunca usar como predictor.
feridos_leves,interim,excluir_por_leakage,,incompatible,Resultado humano conhecido após a ocorrência e correlato direto do desfecho.,Não auditada por leakage.,human_outcomes,exclude_leakage,false,false,Desfecho humano proibido como predictor em qualquer experimento futuro.,Nunca usar como predictor.
feridos,interim,excluir_por_leakage,,incompatible,Resultado humano e agregação que contém feridos_graves.,Não auditada por leakage.,human_outcomes,exclude_leakage,false,false,Desfecho humano proibido como predictor em qualquer experimento futuro.,Nunca usar como predictor.
ilesos,interim,excluir_por_leakage,,incompatible,Resultado humano consolidado após a ocorrência.,Não auditada por leakage.,human_outcomes,exclude_leakage,false,false,Desfecho humano proibido como predictor em qualquer experimento futuro.,Nunca usar como predictor.
ignorados,interim,excluir_por_leakage,,incompatible,Contagem humana consolidada após a ocorrência.,Não auditada por leakage.,human_outcomes,exclude_leakage,false,false,Desfecho humano proibido como predictor em qualquer experimento futuro.,Nunca usar como predictor.
classificacao_acidente,interim,excluir_por_leakage,,incompatible,Classificação do desfecho é proxy imediato da gravidade.,Não auditada por leakage.,outcome_classification,exclude_leakage,false,false,Proxy do target proibido como predictor em qualquer experimento futuro.,Nunca usar como predictor.
