check_id,asset_id,scope,metric,expected_source,expected_value,exported_value,comparison,status,notes
RC034,GEOGRAPHY,geography:2021,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,18118,18118,equal,PASS,Reconciliação anual das células observadas.
RC035,GEOGRAPHY,geography:2022,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,64606,64606,equal,PASS,Reconciliação anual das células observadas.
RC036,GEOGRAPHY,geography:2022,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,18409,18409,equal,PASS,Reconciliação anual das células observadas.
RC037,GEOGRAPHY,geography:2023,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,67766,67766,equal,PASS,Reconciliação anual das células observadas.
RC038,GEOGRAPHY,geography:2023,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,19212,19212,equal,PASS,Reconciliação anual das células observadas.
RC039,GEOGRAPHY,geography:2024,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,73156,73156,equal,PASS,Reconciliação anual das células observadas.
RC040,GEOGRAPHY,geography:2024,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,20625,20625,equal,PASS,Reconciliação anual das células observadas.
RC041,GEOGRAPHY,geography:2025,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,72529,72529,equal,PASS,Reconciliação anual das células observadas.
RC042,GEOGRAPHY,geography:2025,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,20493,20493,equal,PASS,Reconciliação anual das células observadas.
RC043,MODEL_COMPARISON,phase_4c_xgboost_baseline,mean_average_precision,reports/tables/phase_4d_model_comparison.csv,0.40081097458169895,0.40081097458169895,equal,PASS,Valor congelado copiado sem recomputação.
RC044,MODEL_COMPARISON,phase_4c_xgboost_baseline,ap_standard_deviation,reports/tables/phase_4d_model_comparison.csv,0.007430307892479644,0.007430307892479644,equal,PASS,Valor congelado copiado sem recomputação.
RC045,MODEL_COMPARISON,phase_4b_random_forest_baseline,mean_average_precision,reports/tables/phase_4d_model_comparison.csv,0.3959839275865431,0.3959839275865431,equal,PASS,Valor congelado copiado sem recomputação.
RC046,MODEL_COMPARISON,phase_4b_random_forest_baseline,ap_standard_deviation,reports/tables/phase_4d_model_comparison.csv,0.00558166427201829,0.00558166427201829,equal,PASS,Valor congelado copiado sem recomputação.
RC047,MODEL_COMPARISON,phase_4a_logistic_baseline,mean_average_precision,reports/tables/phase_4d_model_comparison.csv,0.3935082935577437,0.3935082935577437,equal,PASS,Valor congelado copiado sem recomputação.
RC048,MODEL_COMPARISON,phase_4a_logistic_baseline,ap_standard_deviation,reports/tables/phase_4d_model_comparison.csv,0.004878870165386994,0.004878870165386994,equal,PASS,Valor congelado copiado sem recomputação.
RC049,FINAL_2025,2025,average_precision,reports/tables/tcc/T2_final_2025_evaluation.csv,0.3974456687131155,0.3974456687131155,equal,PASS,Valor final publicado copiado sem predictions.
RC050,FINAL_2025,2025,roc_auc,reports/tables/tcc/T2_final_2025_evaluation.csv,0.6285562620583193,0.6285562620583193,equal,PASS,Valor final publicado copiado sem predictions.
RC051,FINAL_2025,2025,brier_score,reports/tables/tcc/T2_final_2025_evaluation.csv,0.19382199321256413,0.19382199321256413,equal,PASS,Valor final publicado copiado sem predictions.
RC052,FINAL_2025,2025,precision,reports/tables/tcc/T2_final_2025_evaluation.csv,0.33159329140461213,0.33159329140461213,equal,PASS,Valor final publicado copiado sem predictions.
RC053,FINAL_2025,2025,recall,reports/tables/tcc/T2_final_2025_evaluation.csv,0.7718245254477138,0.7718245254477138,equal,PASS,Valor final publicado copiado sem predictions.
RC054,FINAL_2025,2025,f1,reports/tables/tcc/T2_final_2025_evaluation.csv,0.4638892554954321,0.4638892554954321,equal,PASS,Valor final publicado copiado sem predictions.
RC055,THRESHOLD_2025,frozen_threshold,threshold,reports/tables/phase_4h_threshold_evaluation.csv,0.23723246157169342,0.23723246157169342,equal,PASS,Ponto de operação publicado copiado sem recomputação.
RC056,THRESHOLD_2025,frozen_threshold,positive_precision,reports/tables/phase_4h_threshold_evaluation.csv,0.33159329140461213,0.33159329140461213,equal,PASS,Ponto de operação publicado copiado sem recomputação.
RC057,THRESHOLD_2025,frozen_threshold,recall,reports/tables/phase_4h_threshold_evaluation.csv,0.7718245254477138,0.7718245254477138,equal,PASS,Ponto de operação publicado copiado sem recomputação.
RC058,THRESHOLD_2025,frozen_threshold,f1,reports/tables/phase_4h_threshold_evaluation.csv,0.4638892554954321,0.4638892554954321,equal,PASS,Ponto de operação publicado copiado sem recomputação.
RC059,THRESHOLD_2025,frozen_threshold,true_negative,reports/tables/phase_4h_threshold_evaluation.csv,20153,20153,equal,PASS,Ponto de operação publicado copiado sem recomputação.
RC060,THRESHOLD_2025,frozen_threshold,false_positive,reports/tables/phase_4h_threshold_evaluation.csv,31883,31883,equal,PASS,Ponto de operação publicado copiado sem recomputação.
RC061,THRESHOLD_2025,frozen_threshold,false_negative,reports/tables/phase_4h_threshold_evaluation.csv,4676,4676,equal,PASS,Ponto de operação publicado copiado sem recomputação.
RC062,THRESHOLD_2025,frozen_threshold,true_positive,reports/tables/phase_4h_threshold_evaluation.csv,15817,15817,equal,PASS,Ponto de operação publicado copiado sem recomputação.
RC063,CALIBRATION_2025,published_bins,row_count,reports/tables/phase_4h_calibration.csv,10,10,equal,PASS,Mesmos dez bins publicados.
RC064,CALIBRATION_2025,bin:1,mean_predicted_probability,reports/tables/phase_4h_calibration.csv,0.14931416648929158,0.14931416648929158,equal,PASS,Bin copiado sem recalibração.
RC065,CALIBRATION_2025,bin:2,mean_predicted_probability,reports/tables/phase_4h_calibration.csv,0.19072843472143708,0.19072843472143708,equal,PASS,Bin copiado sem recalibração.
RC066,CALIBRATION_2025,bin:3,mean_predicted_probability,reports/tables/phase_4h_calibration.csv,0.21701153776907978,0.21701153776907978,equal,PASS,Bin copiado sem recalibração.
RC067,CALIBRATION_2025,bin:4,mean_predicted_probability,reports/tables/phase_4h_calibration.csv,0.23895375831002583,0.23895375831002583,equal,PASS,Bin copiado sem recalibração.
RC068,CALIBRATION_2025,bin:5,mean_predicted_probability,reports/tables/phase_4h_calibration.csv,0.25996086848870187,0.25996086848870187,equal,PASS,Bin copiado sem recalibração.
RC069,CALIBRATION_2025,bin:6,mean_predicted_probability,reports/tables/phase_4h_calibration.csv,0.2831840975239865,0.2831840975239865,equal,PASS,Bin copiado sem recalibração.
RC070,CALIBRATION_2025,bin:7,mean_predicted_probability,reports/tables/phase_4h_calibration.csv,0.3093978725276157,0.3093978725276157,equal,PASS,Bin copiado sem recalibração.
RC071,CALIBRATION_2025,bin:8,mean_predicted_probability,reports/tables/phase_4h_calibration.csv,0.3389026507022347,0.3389026507022347,equal,PASS,Bin copiado sem recalibração.
RC072,CALIBRATION_2025,bin:9,mean_predicted_probability,reports/tables/phase_4h_calibration.csv,0.38046429225630257,0.38046429225630257,equal,PASS,Bin copiado sem recalibração.
RC073,CALIBRATION_2025,bin:10,mean_predicted_probability,reports/tables/phase_4h_calibration.csv,0.4708657106925221,0.4708657106925221,equal,PASS,Bin copiado sem recalibração.
RC074,INTERPRETATION,source_predictors,row_count,reports/tables/phase_4i_global_feature_contributions.csv,22,22,equal,PASS,Todas as contribuições agregadas publicadas.
RC075,INTERPRETATION,transformed_rank:1,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.16333748430331746,0.16333748430331746,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC076,INTERPRETATION,transformed_rank:2,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.05342911061350782,0.05342911061350782,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC077,INTERPRETATION,transformed_rank:3,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.049295763042818096,0.049295763042818096,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC078,INTERPRETATION,transformed_rank:4,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.04558408870262294,0.04558408870262294,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC079,INTERPRETATION,transformed_rank:5,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.039741662093391916,0.039741662093391916,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC080,INTERPRETATION,transformed_rank:6,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.03763496880374983,0.03763496880374983,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC081,INTERPRETATION,transformed_rank:7,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.037616869136038206,0.037616869136038206,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC082,INTERPRETATION,transformed_rank:8,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.03534370390834038,0.03534370390834038,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC083,INTERPRETATION,transformed_rank:9,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.0273973269826363,0.0273973269826363,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC084,INTERPRETATION,transformed_rank:10,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.026401786513688824,0.026401786513688824,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC085,INTERPRETATION,transformed_rank:11,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.024655146976092217,0.024655146976092217,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC086,INTERPRETATION,transformed_rank:12,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.02037337809631397,0.02037337809631397,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC087,INTERPRETATION,transformed_rank:13,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.020146821814230047,0.020146821814230047,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC088,INTERPRETATION,transformed_rank:14,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.018949463187857958,0.018949463187857958,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC089,INTERPRETATION,transformed_rank:15,mean_absolute_shap,reports/tables/tcc/A1_top15_transformed_features.csv,0.01884140629201051,0.01884140629201051,equal,PASS,Top 15 copiado sem novo ranking ou SHAP.
RC090,TEMPORAL_VALIDATION,model_id:phase_4a_logistic_baseline|fold:1|validation_year:2022,average_precision,reports/tables/phase_4d_fold_comparison.csv,0.3866809762501382,0.3866809762501382,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC091,TEMPORAL_VALIDATION,model_id:phase_4a_logistic_baseline|fold:1|validation_year:2022,roc_auc,reports/tables/phase_4d_fold_comparison.csv,0.6169751375443843,0.6169751375443843,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC092,TEMPORAL_VALIDATION,model_id:phase_4a_logistic_baseline|fold:1|validation_year:2022,brier_score,reports/tables/phase_4d_fold_comparison.csv,0.19645154811277926,0.19645154811277926,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC093,TEMPORAL_VALIDATION,model_id:phase_4b_random_forest_baseline|fold:1|validation_year:2022,average_precision,reports/tables/phase_4d_fold_comparison.csv,0.3880957692713414,0.3880957692713414,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC094,TEMPORAL_VALIDATION,model_id:phase_4b_random_forest_baseline|fold:1|validation_year:2022,roc_auc,reports/tables/phase_4d_fold_comparison.csv,0.6185441901535429,0.6185441901535429,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC095,TEMPORAL_VALIDATION,model_id:phase_4b_random_forest_baseline|fold:1|validation_year:2022,brier_score,reports/tables/phase_4d_fold_comparison.csv,0.1966648077574826,0.1966648077574826,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC096,TEMPORAL_VALIDATION,model_id:phase_4c_xgboost_baseline|fold:1|validation_year:2022,average_precision,reports/tables/phase_4d_fold_comparison.csv,0.390374557377428,0.390374557377428,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC097,TEMPORAL_VALIDATION,model_id:phase_4c_xgboost_baseline|fold:1|validation_year:2022,roc_auc,reports/tables/phase_4d_fold_comparison.csv,0.6221008401959205,0.6221008401959205,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC098,TEMPORAL_VALIDATION,model_id:phase_4c_xgboost_baseline|fold:1|validation_year:2022,brier_score,reports/tables/phase_4d_fold_comparison.csv,0.19586497357841257,0.19586497357841257,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC099,TEMPORAL_VALIDATION,model_id:phase_4a_logistic_baseline|fold:2|validation_year:2023,average_precision,reports/tables/phase_4d_fold_comparison.csv,0.3960583174959361,0.3960583174959361,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC100,TEMPORAL_VALIDATION,model_id:phase_4a_logistic_baseline|fold:2|validation_year:2023,roc_auc,reports/tables/phase_4d_fold_comparison.csv,0.62737846563422,0.62737846563422,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC101,TEMPORAL_VALIDATION,model_id:phase_4a_logistic_baseline|fold:2|validation_year:2023,brier_score,reports/tables/phase_4d_fold_comparison.csv,0.19444985459760528,0.19444985459760528,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC102,TEMPORAL_VALIDATION,model_id:phase_4b_random_forest_baseline|fold:2|validation_year:2023,average_precision,reports/tables/phase_4d_fold_comparison.csv,0.3996726973944841,0.3996726973944841,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC103,TEMPORAL_VALIDATION,model_id:phase_4b_random_forest_baseline|fold:2|validation_year:2023,roc_auc,reports/tables/phase_4d_fold_comparison.csv,0.6294224726541079,0.6294224726541079,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC104,TEMPORAL_VALIDATION,model_id:phase_4b_random_forest_baseline|fold:2|validation_year:2023,brier_score,reports/tables/phase_4d_fold_comparison.csv,0.19488729276566014,0.19488729276566014,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC105,TEMPORAL_VALIDATION,model_id:phase_4c_xgboost_baseline|fold:2|validation_year:2023,average_precision,reports/tables/phase_4d_fold_comparison.csv,0.40496847114969603,0.40496847114969603,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC106,TEMPORAL_VALIDATION,model_id:phase_4c_xgboost_baseline|fold:2|validation_year:2023,roc_auc,reports/tables/phase_4d_fold_comparison.csv,0.6336685028033421,0.6336685028033421,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC107,TEMPORAL_VALIDATION,model_id:phase_4c_xgboost_baseline|fold:2|validation_year:2023,brier_score,reports/tables/phase_4d_fold_comparison.csv,0.19345287692771096,0.19345287692771096,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC108,TEMPORAL_VALIDATION,model_id:phase_4a_logistic_baseline|fold:3|validation_year:2024,average_precision,reports/tables/phase_4d_fold_comparison.csv,0.3977855869271569,0.3977855869271569,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC109,TEMPORAL_VALIDATION,model_id:phase_4a_logistic_baseline|fold:3|validation_year:2024,roc_auc,reports/tables/phase_4d_fold_comparison.csv,0.6287792847282672,0.6287792847282672,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC110,TEMPORAL_VALIDATION,model_id:phase_4a_logistic_baseline|fold:3|validation_year:2024,brier_score,reports/tables/phase_4d_fold_comparison.csv,0.19355777397050494,0.19355777397050494,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC111,TEMPORAL_VALIDATION,model_id:phase_4b_random_forest_baseline|fold:3|validation_year:2024,average_precision,reports/tables/phase_4d_fold_comparison.csv,0.4001833160938038,0.4001833160938038,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC112,TEMPORAL_VALIDATION,model_id:phase_4b_random_forest_baseline|fold:3|validation_year:2024,roc_auc,reports/tables/phase_4d_fold_comparison.csv,0.6303369399771448,0.6303369399771448,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC113,TEMPORAL_VALIDATION,model_id:phase_4b_random_forest_baseline|fold:3|validation_year:2024,brier_score,reports/tables/phase_4d_fold_comparison.csv,0.19399737763950947,0.19399737763950947,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC114,TEMPORAL_VALIDATION,model_id:phase_4c_xgboost_baseline|fold:3|validation_year:2024,average_precision,reports/tables/phase_4d_fold_comparison.csv,0.4070898952179728,0.4070898952179728,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC115,TEMPORAL_VALIDATION,model_id:phase_4c_xgboost_baseline|fold:3|validation_year:2024,roc_auc,reports/tables/phase_4d_fold_comparison.csv,0.6367804799820942,0.6367804799820942,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
RC116,TEMPORAL_VALIDATION,model_id:phase_4c_xgboost_baseline|fold:3|validation_year:2024,brier_score,reports/tables/phase_4d_fold_comparison.csv,0.19237455525677927,0.19237455525677927,equal,PASS,Valor modelo/fold publicado copiado sem recomputação.
