paragraph_id,section_id,paragraph_purpose,internal_evidence,external_references,rq,interpretation_level,main_caution
"P016","4.6","Apresentar seleção do threshold e matriz de confusão.","phase_4f_threshold_selection.csv;phase_4h_threshold_evaluation.csv","","RQ2;RQ5","RESULT","2025 nunca participou da seleção."
"P017","4.6","Descrever o compromisso precision–recall.","phase_4h_threshold_evaluation.csv","","RQ2;RQ5","INTERPRETATION","Sem custos ou recomendação de uso."
"P018","4.7.1","Descrever o diagnóstico em faixas quantílicas.","phase_4h_calibration.csv","","RQ2;RQ5","RESULT","Diagnóstico agrupado complementar."
"P019","4.7.1","Delimitar o alcance do diagnóstico de calibração.","phase_4h_calibration.csv;PHASE_4H_FINAL_EVALUATION.md","","RQ2;RQ5","LIMITATION","Nenhum calibrador ou novo teste."
"P020","4.7.2","Apresentar o ranking agregado dos predictors.","phase_4i_global_feature_contributions.csv","","RQ2","RESULT","Tree SHAP em margem bruta."
"P021","4.7.2","Explicar agregação, cardinalidade e limite não causal.","phase_4i_global_feature_contributions.csv","","RQ2","LIMITATION","Ranking depende da representação."
"P022","5.1","Integrar heterogeneidade e contexto aplicado internacional.","F1;F2;phase_5a_research_question_evidence.csv","REF001;REF002;REF003","RQ1","INTERPRETATION","Literatura contextualiza, não confirma."
"P023","5.1","Situar o estudo brasileiro sem comparabilidade automática.","phase_5a_research_question_evidence.csv","REF004","RQ1","INTERPRETATION","População, período e modelo diferem."
"P024","5.1","Distinguir volume, prevalência e exposição.","T1;PHASE_5A_RESEARCH_QUESTION_SYNTHESIS.md","REF005","RQ1","LIMITATION","Não estima probabilidade de ocorrência."
"P025","5.2","Interpretar a capacidade preditiva moderada.","T2;phase_4h_final_evaluation.csv;F6","","RQ2","INTERPRETATION","Separação imperfeita entre classes."
"P026","5.2","Fundamentar AP e distinguir ROC de Precision–Recall.","PHASE_3D_EXPERIMENTAL_DESIGN.md","REF010;REF011","RQ2","INTERPRETATION","AP não é universalmente preferível."
"P027","5.2","Relacionar discriminação, Brier e calibração.","T2;F7;phase_4h_calibration.csv","REF012;REF013","RQ2","LIMITATION","Compatibilidade temporal não comprova fluxo operacional."
"P028","5.3","Contextualizar mecanismos de RF e XGBoost.","PHASE_4B_RANDOM_FOREST.md;PHASE_4C_XGBOOST.md","REF008;REF009","RQ3","INTERPRETATION","Referências de método não antecipam rank."
"P029","5.3","Interpretar a pequena distância entre famílias.","F4;phase_4d_model_comparison.csv","REF001;REF003","RQ3","INTERPRETATION","Resultados externos não explicam os deltas internos."
"P030","5.3","Condicionar a seleção ao contrato experimental.","phase_4e_model_selection.csv;M2_features_preprocessing.csv","","RQ3","LIMITATION","Sem generalização para outras configurações."
"P031","5.4","Fundamentar a direção temporal da validação.","M1;phase_3d_temporal_folds.csv;F5","REF007","RQ4","INTERPRETATION","Três folds não provam suficiência."
"P032","5.4","Explicar por que a sequência não demonstra tendência.","phase_4d_fold_comparison.csv","REF007","RQ4","LIMITATION","Janela de treino e ano variam juntos."
"P033","5.4","Integrar 2025, generalização e shift.","T2;phase_4h_development_comparison.csv","REF006","RQ4;RQ5","INTERPRETATION","Um ano final e cegamento estrutural parcial."
"P034","5.5","Interpretar o ponto de operação e o compromisso de erros.","F6;phase_4h_threshold_evaluation.csv","REF010;REF014","RQ2;RQ5","INTERPRETATION","Custos de erro não foram observados."
"P035","5.5","Distinguir máximo de F1 de ótimo institucional.","phase_4f_threshold_selection.csv","REF015","RQ2;RQ5","INTERPRETATION","Seleção somente no OOF temporal."
"P036","5.5","Explicitar dados necessários para decisão operacional.","PHASE_4F_THRESHOLD_SELECTION.md","REF014;REF015","RQ2;RQ5","LIMITATION","Nenhuma recomendação de implantação."
"P037","5.6","Relacionar EDA e ranking por convergência parcial.","F1;F2;F8;phase_4i_global_feature_contributions.csv","","RQ1;RQ2","INTERPRETATION","Convergência não implica repetição dos contrastes."
"P038","5.6","Fundamentar SHAP e agregação de explicações.","PHASE_4I_FINAL_INTERPRETATION.md","REF016;REF017","RQ2","INTERPRETATION","Escala de margem e representação importam."
"P039","5.6","Delimitar relevância preditiva e causalidade.","phase_4i_global_feature_contributions.csv","REF018;REF019","RQ1;RQ2","LIMITATION","Atribuições não identificam mecanismos geradores."
"P040","5.7","Consolidar limitações de população, exposição e observação.","PHASE_5A_RESEARCH_QUESTION_SYNTHESIS.md","REF001;REF005","Principal;RQ1","LIMITATION","Literatura não substitui a evidência interna."
"P041","5.7","Consolidar limitações do desenho preditivo.","phase_3b_feature_policy.csv;phase_3d_temporal_folds.csv","REF006;REF007","RQ2;RQ4;RQ5","LIMITATION","Compatibilidade conceitual, poucos períodos e drift futuro."
"P042","5.7","Consolidar limitações de modelo e decisão.","T2;F6","REF013;REF014;REF015","RQ2;RQ3;RQ5","LIMITATION","Sem custos, capacidade institucional ou avaliação prospectiva."
"P043","5.7","Consolidar limitações da interpretação por SHAP.","F8;phase_4i_global_feature_contributions.csv","REF017;REF018;REF019","RQ1;RQ2","LIMITATION","Agregação depende de OHE e cardinalidade."
"P044","5.8","Responder de forma integrada às cinco RQs.","phase_5a_research_question_summary.csv","","Principal;RQ1–RQ5","SYNTHESIS","Manutenção aproximada e ganho pequeno."
"P045","5.8","Encerrar o alcance sem antecipar a Conclusão.","phase_5a_research_question_summary.csv","","Principal;RQ1–RQ5","SYNTHESIS","Sem causalidade ou recomendação operacional."
